task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds,variant,planned_actions_per_decision,maximum_executed_actions_per_decision
cube,150,150,25,clean,released_raw,ap-fresh-cube-025,True,10,2,300,90000,26116351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",3.8087,LeWM (5-action replanning),25,5
cube,150,150,25,prefix_a,released_raw,ap-fresh-cube-025,True,8,2,300,90000,26116351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",3.7433,LeWM (5-action replanning),25,5
cube,150,150,25,prefix_b,released_raw,ap-fresh-cube-025,True,9,2,300,90000,26116351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",3.7251,LeWM (5-action replanning),25,5
cube,150,150,26,clean,released_raw,ap-fresh-cube-026,False,150,30,4500,1350000,26117351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",54.9385,LeWM (5-action replanning),25,5
cube,150,150,26,prefix_a,released_raw,ap-fresh-cube-026,False,150,30,4500,1350000,26117351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.3162,LeWM (5-action replanning),25,5
cube,150,150,26,prefix_b,released_raw,ap-fresh-cube-026,False,150,30,4500,1350000,26117351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.6447,LeWM (5-action replanning),25,5
cube,150,150,27,clean,released_raw,ap-fresh-cube-027,False,150,30,4500,1350000,26118351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.6919,LeWM (5-action replanning),25,5
cube,150,150,27,prefix_a,released_raw,ap-fresh-cube-027,False,150,30,4500,1350000,26118351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.585,LeWM (5-action replanning),25,5
cube,150,150,27,prefix_b,released_raw,ap-fresh-cube-027,False,150,30,4500,1350000,26118351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.7073,LeWM (5-action replanning),25,5
cube,150,150,28,clean,released_raw,ap-fresh-cube-028,True,13,3,450,135000,26119351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",5.5655,LeWM (5-action replanning),25,5
cube,150,150,28,prefix_a,released_raw,ap-fresh-cube-028,False,150,30,4500,1350000,26119351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.2131,LeWM (5-action replanning),25,5
cube,150,150,28,prefix_b,released_raw,ap-fresh-cube-028,False,150,30,4500,1350000,26119351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.3713,LeWM (5-action replanning),25,5
