task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds
cube,25,25,29,clean,released_raw,ap-fresh-cube-029,False,25,1,150,45000,26120351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.0484
cube,25,25,29,prefix_a,released_raw,ap-fresh-cube-029,False,25,1,150,45000,26120351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.117
cube,25,25,29,prefix_b,released_raw,ap-fresh-cube-029,False,25,1,150,45000,26120351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8915
cube,25,25,30,clean,released_raw,ap-fresh-cube-030,True,0,0,0,0,26121351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0073
cube,25,25,30,prefix_a,released_raw,ap-fresh-cube-030,True,0,0,0,0,26121351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.007
cube,25,25,30,prefix_b,released_raw,ap-fresh-cube-030,True,0,0,0,0,26121351,"{'initial_success': True, 'success': True, 'terminal_without_success': False, 'category': 'initial_success', 'primitive_steps': 0}",0.0072
cube,25,25,31,clean,released_raw,ap-fresh-cube-031,False,25,1,150,45000,26122351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.0481
cube,25,25,31,prefix_a,released_raw,ap-fresh-cube-031,True,21,1,150,45000,26122351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.0418
cube,25,25,31,prefix_b,released_raw,ap-fresh-cube-031,False,25,1,150,45000,26122351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.9907
cube,25,25,32,clean,released_raw,ap-fresh-cube-032,False,25,1,150,45000,26123351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.6136
cube,25,25,32,prefix_a,released_raw,ap-fresh-cube-032,False,25,1,150,45000,26123351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.6864
cube,25,25,32,prefix_b,released_raw,ap-fresh-cube-032,False,25,1,150,45000,26123351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.7874
cube,25,25,33,clean,released_raw,ap-fresh-cube-033,True,12,1,150,45000,26124351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.591
cube,25,25,33,prefix_a,released_raw,ap-fresh-cube-033,False,25,1,150,45000,26124351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.6112
cube,25,25,33,prefix_b,released_raw,ap-fresh-cube-033,True,16,1,150,45000,26124351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.7089
cube,25,25,34,clean,released_raw,ap-fresh-cube-034,False,25,1,150,45000,26125351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",5.5916
cube,25,25,34,prefix_a,released_raw,ap-fresh-cube-034,False,25,1,150,45000,26125351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",6.3334
cube,25,25,34,prefix_b,released_raw,ap-fresh-cube-034,False,25,1,150,45000,26125351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.8623
cube,25,25,35,clean,released_raw,ap-fresh-cube-035,False,25,1,150,45000,26126351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 0}",6.0844
cube,25,25,35,prefix_a,released_raw,ap-fresh-cube-035,False,25,1,150,45000,26126351,"{'initial_success': False, 'success': False, 'terminal_without_success': False, 'category': 'policy_entered', 'primitive_steps': 5}",5.9852
