task,controller,query_ordinal,condition,success,primitive_steps,prediction_blocks
cube,AP-CEM,108,prefix_a,0,150,270060
cube,AP-CEM,108,prefix_b,1,28,54012
cube,AP-CEM,109,clean,1,22,45010
cube,AP-CEM,109,prefix_a,0,150,270060
cube,AP-CEM,109,prefix_b,1,22,45010
cube,AP-CEM,110,clean,1,35,63014
cube,AP-CEM,110,prefix_a,1,32,63014
cube,AP-CEM,110,prefix_b,1,35,63014
cube,AP-CEM,111,clean,1,34,63014
cube,AP-CEM,111,prefix_a,1,38,72016
cube,AP-CEM,111,prefix_b,0,150,270060
cube,AP-CEM,112,clean,0,150,270060
cube,AP-CEM,112,prefix_a,1,48,90020
cube,AP-CEM,112,prefix_b,0,150,270060
cube,AP-CEM,113,clean,0,150,270060
cube,AP-CEM,113,prefix_a,0,150,270060
cube,AP-CEM,113,prefix_b,0,150,270060
cube,AP-CEM,114,clean,1,32,63014
cube,AP-CEM,114,prefix_a,1,43,81018
cube,AP-CEM,114,prefix_b,1,47,90020
cube,AP-CEM,115,clean,0,150,270060
cube,AP-CEM,115,prefix_a,0,150,270060
cube,AP-CEM,115,prefix_b,0,150,270060
cube,AP-CEM,116,clean,0,150,270060
cube,AP-CEM,116,prefix_a,0,150,270060
cube,AP-CEM,116,prefix_b,0,150,270060
cube,AP-CEM,117,clean,0,150,270060
cube,AP-CEM,117,prefix_a,1,31,63014
cube,AP-CEM,117,prefix_b,0,150,270060
cube,AP-CEM,118,clean,1,46,90020
cube,AP-CEM,118,prefix_a,0,150,270060
cube,AP-CEM,118,prefix_b,0,150,270060
cube,AP-CEM,119,clean,1,43,81018
cube,AP-CEM,119,prefix_a,1,42,81018
cube,AP-CEM,119,prefix_b,0,150,270060
cube,AP-CEM,120,clean,0,150,270060
cube,AP-CEM,120,prefix_a,0,150,270060
cube,AP-CEM,120,prefix_b,1,33,63014
cube,AP-CEM,121,clean,0,150,270060
cube,AP-CEM,121,prefix_a,0,150,270060
cube,AP-CEM,121,prefix_b,0,150,270060
cube,AP-CEM,122,clean,0,150,270060
cube,AP-CEM,122,prefix_a,0,150,270060
cube,AP-CEM,122,prefix_b,0,150,270060
cube,AP-CEM,123,clean,0,150,270060
cube,AP-CEM,123,prefix_a,0,150,270060
cube,AP-CEM,123,prefix_b,0,150,270060
cube,AP-CEM,124,clean,0,150,270060
cube,AP-CEM,124,prefix_a,0,150,270060
cube,AP-CEM,124,prefix_b,0,150,270060
cube,AP-CEM,125,clean,0,150,270060
cube,AP-CEM,125,prefix_a,0,150,270060
cube,AP-CEM,125,prefix_b,0,150,270060
cube,AP-CEM,126,clean,1,46,90020
cube,AP-CEM,126,prefix_a,0,150,270060
cube,AP-CEM,126,prefix_b,0,150,270060
cube,AP-CEM,127,clean,1,32,63014
cube,AP-CEM,127,prefix_a,1,41,81018
cube,AP-CEM,127,prefix_b,0,150,270060
cube,AP-rank,0,clean,1,23,40
cube,AP-rank,0,prefix_a,1,20,32
cube,AP-rank,0,prefix_b,1,21,40
cube,AP-rank,1,clean,1,36,64
cube,AP-rank,1,prefix_a,1,44,72
cube,AP-rank,1,prefix_b,1,37,64
cube,AP-rank,2,clean,1,40,64
cube,AP-rank,2,prefix_a,1,41,72
cube,AP-rank,2,prefix_b,1,40,64
cube,AP-rank,3,clean,0,150,240
cube,AP-rank,3,prefix_a,0,150,240
cube,AP-rank,3,prefix_b,0,150,240
cube,AP-rank,4,clean,1,21,40
cube,AP-rank,4,prefix_a,1,18,32
cube,AP-rank,4,prefix_b,0,150,240
cube,AP-rank,5,clean,1,26,48
cube,AP-rank,5,prefix_a,0,150,240
cube,AP-rank,5,prefix_b,0,150,240
cube,AP-rank,6,clean,0,150,240
cube,AP-rank,6,prefix_a,0,150,240
cube,AP-rank,6,prefix_b,0,150,240
cube,AP-rank,7,clean,1,30,48
cube,AP-rank,7,prefix_a,1,28,48
cube,AP-rank,7,prefix_b,1,34,56
cube,AP-rank,8,clean,1,30,48
cube,AP-rank,8,prefix_a,0,150,240
cube,AP-rank,8,prefix_b,1,31,56
cube,AP-rank,9,clean,1,42,72
cube,AP-rank,9,prefix_a,1,35,56
cube,AP-rank,9,prefix_b,1,37,64
cube,AP-rank,10,clean,1,46,80
cube,AP-rank,10,prefix_a,0,150,240
cube,AP-rank,10,prefix_b,0,150,240
cube,AP-rank,11,clean,1,42,72
cube,AP-rank,11,prefix_a,0,150,240
cube,AP-rank,11,prefix_b,1,21,40
cube,AP-rank,12,clean,1,16,32
cube,AP-rank,12,prefix_a,0,150,240
cube,AP-rank,12,prefix_b,1,19,32
cube,AP-rank,13,clean,1,44,72
cube,AP-rank,13,prefix_a,1,55,88
cube,AP-rank,13,prefix_b,1,44,72
cube,AP-rank,14,clean,1,16,32
cube,AP-rank,14,prefix_a,0,150,240
cube,AP-rank,14,prefix_b,1,25,40
