task,arm,kind,start,config_H,config_arm,stall_W5_numerator,stall_W5_denominator,stall_W5_percent,stall_W10_numerator,stall_W10_denominator,stall_W10_percent,stall_W20_numerator,stall_W20_denominator,stall_W20_percent,physical_detour_0.25_numerator,physical_detour_0.25_denominator,physical_detour_0.25_percent,physical_detour_0.5_numerator,physical_detour_0.5_denominator,physical_detour_0.5_percent,physical_detour_1.0_numerator,physical_detour_1.0_denominator,physical_detour_1.0_percent,latent_detour_numerator,latent_detour_denominator,latent_detour_percent,config_B,config_iterations,config_memory_fraction,config_target_L,config_key,config_span,config_execution
cube,rank_final,horizon,Perturbed 2,100,rank_final,78,80,97.5,72,80,90,40,80,50,22,47,46.808510638297875,17,47,36.170212765957444,10,47,21.27659574468085,9,47,19.148936170212767,100,30,,,,,
cube,rank_learned,horizon,Standard,100,rank_learned,24,27,88.88888888888889,22,27,81.48148148148148,6,27,22.22222222222222,58,100,58,51,100,51,43,100,43,35,100,35,100,30,,,,,
cube,rank_learned,horizon,Perturbed,100,rank_learned,125,144,86.80555555555556,116,144,80.55555555555556,53,144,36.80555555555556,72,110,65.45454545454545,59,110,53.63636363636363,45,110,40.90909090909091,34,110,30.90909090909091,100,30,,,,,
cube,rank_learned,horizon,Perturbed 1,100,rank_learned,61,72,84.72222222222223,57,72,79.16666666666667,24,72,33.333333333333336,33,55,60,28,55,50.90909090909091,22,55,40,12,55,21.818181818181817,100,30,,,,,
cube,rank_learned,horizon,Perturbed 2,100,rank_learned,64,72,88.88888888888889,59,72,81.94444444444444,29,72,40.27777777777778,39,55,70.9090909090909,31,55,56.36363636363637,23,55,41.81818181818182,22,55,40,100,30,,,,,
cube,rank_observed,horizon,Standard,100,rank_observed,39,45,86.66666666666667,35,45,77.77777777777777,17,45,37.77777777777778,50,82,60.97560975609756,40,82,48.78048780487805,31,82,37.80487804878049,35,82,42.68292682926829,100,30,,,,,
cube,rank_observed,horizon,Perturbed,100,rank_observed,149,161,92.54658385093168,141,161,87.5776397515528,73,161,45.3416149068323,58,93,62.365591397849464,52,93,55.913978494623656,44,93,47.31182795698925,39,93,41.935483870967744,100,30,,,,,
cube,rank_observed,horizon,Perturbed 1,100,rank_observed,73,82,89.02439024390245,68,82,82.92682926829268,37,82,45.1219512195122,26,45,57.77777777777778,23,45,51.111111111111114,22,45,48.888888888888886,17,45,37.77777777777778,100,30,,,,,
cube,rank_observed,horizon,Perturbed 2,100,rank_observed,76,79,96.20253164556962,73,79,92.40506329113924,36,79,45.56962025316456,32,48,66.66666666666667,29,48,60.416666666666664,22,48,45.833333333333336,22,48,45.833333333333336,100,30,,,,,
pusht,cem_final,horizon,Standard,50,cem_final,83,120,69.16666666666667,73,120,60.833333333333336,34,120,28.333333333333332,2,8,25,2,8,25,1,8,12.5,1,8,12.5,100,30,,,,,
pusht,cem_final,horizon,Perturbed,50,cem_final,152,233,65.23605150214593,132,233,56.652360515021456,65,233,27.896995708154506,11,23,47.82608695652174,7,23,30.434782608695652,5,23,21.73913043478261,3,23,13.043478260869565,100,30,,,,,
pusht,cem_final,horizon,Perturbed 1,50,cem_final,76,116,65.51724137931035,69,116,59.48275862068966,36,116,31.03448275862069,6,12,50,3,12,25,2,12,16.666666666666668,1,12,8.333333333333334,100,30,,,,,
pusht,cem_final,horizon,Perturbed 2,50,cem_final,76,117,64.95726495726495,63,117,53.84615384615385,29,117,24.786324786324787,5,11,45.45454545454545,4,11,36.36363636363637,3,11,27.272727272727273,2,11,18.181818181818183,100,30,,,,,
reacher,cem_final,horizon,Standard,50,cem_final,0,55,0,0,55,0,0,55,0,40,72,55.55555555555556,34,72,47.22222222222222,33,72,45.833333333333336,17,72,23.61111111111111,100,30,,,,,
reacher,cem_final,horizon,Perturbed,50,cem_final,0,122,0,0,122,0,0,122,0,72,131,54.961832061068705,66,131,50.38167938931298,56,131,42.74809160305343,33,131,25.19083969465649,100,30,,,,,
reacher,cem_final,horizon,Perturbed 1,50,cem_final,0,64,0,0,64,0,0,64,0,38,62,61.29032258064516,34,62,54.83870967741935,30,62,48.38709677419355,15,62,24.193548387096776,100,30,,,,,
reacher,cem_final,horizon,Perturbed 2,50,cem_final,0,58,0,0,58,0,0,58,0,34,69,49.27536231884058,32,69,46.3768115942029,26,69,37.68115942028985,18,69,26.08695652173913,100,30,,,,,
tworoom,cem_final,horizon,Standard,50,cem_final,46,121,38.01652892561984,44,121,36.36363636363637,1,121,0.8264462809917356,0,6,0,0,6,0,0,6,0,0,6,0,100,30,,,,,
tworoom,cem_final,horizon,Perturbed,50,cem_final,100,239,41.84100418410042,91,239,38.07531380753138,2,239,0.8368200836820083,1,11,9.090909090909092,0,11,0,0,11,0,0,11,0,100,30,,,,,
tworoom,cem_final,horizon,Perturbed 1,50,cem_final,48,120,40,46,120,38.333333333333336,2,120,1.6666666666666667,0,5,0,0,5,0,0,5,0,0,5,0,100,30,,,,,
tworoom,cem_final,horizon,Perturbed 2,50,cem_final,52,119,43.69747899159664,45,119,37.81512605042017,0,119,0,1,6,16.666666666666668,0,6,0,0,6,0,0,6,0,100,30,,,,,
pusht,cem_learned,horizon,Standard,50,cem_learned,18,30,60,9,30,30,2,30,6.666666666666667,72,98,73.46938775510205,60,98,61.224489795918366,54,98,55.10204081632653,16,98,16.3265306122449,100,30,,,,,
pusht,cem_learned,horizon,Perturbed,50,cem_learned,49,93,52.68817204301075,26,93,27.956989247311828,4,93,4.301075268817204,121,163,74.23312883435582,99,163,60.736196319018404,82,163,50.306748466257666,27,163,16.56441717791411,100,30,,,,,
